s1,s2,Tweet_Id,Created_At,Timestamp_ms,Text,Keyword,User_Id,Screen_name,Description,Retweet_cnt,Favorite_count,Friend_cnt,Location,Geo
82,83,8.27E+17, Wed Feb 01 05:01:57 +0000 2017,1.48593E+12, @youngdems4trump @danneskjold16 let us not forget unvetted syrians  possible killers serving coffee. remember cyanide in tylenol drink up,  tylenol,7.21E+17, SONS_4_LIBERTY, freedom wasnt free  it cost many lives our battle cry  no trumpno vote our right 2 vote is more important than a single election stay the course,0,0,2278, NEW YORK: USA, None
84,85,8.27E+17, Wed Feb 01 05:10:38 +0000 2017,1.48593E+12, a few hits  ibuprofen  and a shower bruh cant get any betterrrr,  ibuprofen,1564200236, Droppedtheblunt, im livin | spursnation |  | 1997 |  yagirlmika,0,0,165, Austin: TX, None
86,87,8.27E+17, Wed Feb 01 05:26:40 +0000 2017,1.48593E+12, slang a buncha narcotics,  narcotic,1409475386, kyrussb, bobby johnson iii,0,0,413, Stockton: CA, None
88,89,8.27E+17, Wed Feb 01 05:29:24 +0000 2017,1.48593E+12, song i just tweeteds about addiction  being broken hearted  losing his bff to heroin amp then finally recovery. id say its almost too fitting,  heroin,616866916, x0emily860_, hartford is home living outside philly | gemini | irish italian  lithuanian | rest in peace angels | @xoxlismarie rip my soul sister,0,0,171, West Hartford: CT, None
89,90,8.27E+17, Wed Feb 01 05:33:49 +0000 2017,1.48593E+12, lets use heroin for pain control and cocaine for adhd ,  heroin,223009099, bucwaas, nephrologist. super bullish on people and humanity. bearish on corrupt exploitive institutions,0,0,627, Texas: USA, None
90,91,8.27E+17, Wed Feb 01 05:35:04 +0000 2017,1.48593E+12, the other side of the opiate crisis is people preferring death to pain. it is a thoughtful balance that is needed. ,  opiate,143189754, rckiser, human  physician  writer  gamer  occasional entertainer  mostly harmless. degrees in medicine  public health  psychology and studies in religion.,0,0,323, Kalamazoo: MI, None
92,93,8.27E+17, Wed Feb 01 05:37:46 +0000 2017,1.48593E+12, they gave me morphine. its lit,  morphine,2208211626, jill_fleek, the weird science guy,0,0,292, Bhico: CA, None
93,94,8.27E+17, Wed Feb 01 05:45:10 +0000 2017,1.48593E+12, the heroin and cocaine related deaths in new orleans is increasing drastically .,  heroin,3321185464, KarlaHilson, lsunursing,0,0,376, New Orleans: LA, None
94,95,8.27E+17, Wed Feb 01 05:46:38 +0000 2017,1.48593E+12, apparently i fucked up my ketamine treatment yesterday by taking xanax afterwards fml this happy shit is so difficult,  xanax,46449248, infinite_daze, just floating along on a neutral  disengaged cloud of whatever,0,0,345, Brooklyn: NY, None
96,97,8.27E+17, Wed Feb 01 05:52:30 +0000 2017,1.48593E+12, my night consists of tylenol pm and box of tissues bc i cant seem to stop sneezing,  tylenol,498199621, Tessaressa12, none,0,0,513, Pittsfield: MA, None
98,99,8.27E+17, Wed Feb 01 06:11:57 +0000 2017,1.48593E+12, caller is having xanax withdraws because her doctor cut her off  shes been agitated all day  wants to go to the hospital to get checked out,  xanax,1416683976, MeanStreetsOMA, couch transcriber. death  destruction  and funny stuff from the streets of omaha. livetweeting policefire. text news tips and death threats to 4028197610.,0,0,402, Omaha: NE, None
101,102,8.27E+17, Wed Feb 01 06:33:15 +0000 2017,1.48593E+12, @iran @realdonaldtrump @fbi @abc @nsagov @cia why those cops were killed in opiate field afghanistan military programmer google time travel,  opiate,8.09E+17, james1neva, hacked by russia china and korea they wont leave me alone about mind mapping and energy,0,0,110, Astoria: OR, None
103,104,8.27E+17, Wed Feb 01 07:06:24 +0000 2017,1.48593E+12, hb612 new criminal law  distribution of heroin or fentanyl resulting in death ,  fentanyl,104718610, LegiScanMD, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Maryland: USA, {'type': 'Point': 'coordinates': [38.978862: -76.490685]}
104,105,8.27E+17, Wed Feb 01 07:09:09 +0000 2017,1.48593E+12, @judgejeanine please please someone look into what chris christie has been doing he is going to kill so many with his new regs on opioids,  opioid,4851281445, trblmkr4471, none,0,0,48, Norma: NJ, None
105,106,8.27E+17, Wed Feb 01 07:09:10 +0000 2017,1.48593E+12, @clonazepam3000 is it ironic if my moms the one who gives me xanax,  xanax,732223568, ChefEgore, you must not lose faith in humanity. humanity is an ocean if a few drops of the ocean are dirty  the ocean does not become dirty.,0,0,165, New York: USA, None
106,107,8.27E+17, Wed Feb 01 07:14:42 +0000 2017,1.48593E+12, @kingmarliedave @kaylatausche @realdonaldtrump @mayorrobford @cnnbrk take your damn heroin and shove it straight up your ass.,  heroin,7.16E+17, KingMarlieDave, a former toronto marlie captain. determined to live in my birth city.,0,0,279, Guelph: Ontario, None
113,114,8.27E+17, Wed Feb 01 08:15:10 +0000 2017,1.48594E+12, its been a while since ive woken up in the middle of the night feeling sick with a headache. hopefully it goes away with tylenol.,  tylenol,400809030, AshZification, lpn  mom to 2 cats  chocolate snob. i have a blog where i say stuff.      ,0,0,993, Newark: NY, None
114,115,8.27E+17, Wed Feb 01 08:28:10 +0000 2017,1.48594E+12, @foxnews @cornelwest please stop mixing cocaine and heroine.,  heroin,7.17E+17, 2003ddb, none,0,0,84, Seaside: CA, None
121,122,8.27E+17, Wed Feb 01 09:44:42 +0000 2017,1.48594E+12, google search how do estimate the amount of xanax to knock you out of mania but also allow you to wake up in less than 4 hours,  xanax,15650971, riplindablair, pretending to be popular online,0,0,504, IG: paperliliesbabe, None
122,123,8.27E+17, Wed Feb 01 09:51:23 +0000 2017,1.48594E+12, this morphine has my grandma talking crazy and were all laughing but its also kinda sad cause she has no idea,  morphine,616729805, _ThatGirlSerena,131,0,0,554, Dallas: TX, None
124,125,8.27E+17, Wed Feb 01 09:58:09 +0000 2017,1.48594E+12, vancouver fentanyl victim leaves sad legacy of two young boys ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
127,128,8.27E+17, Wed Feb 01 10:22:02 +0000 2017,1.48594E+12, my head is screaming. im taking more than the recommend amount of ibuprofen and going to bed. goodnight all. ,  ibuprofen,51495770, cooldude_x3, snapchatter  gamer  5miles seller. instagram @cooldudex3 snapchat @cooldudex3,0,0,614, Texas: USA, None
129,131,8.27E+17, Wed Feb 01 10:53:26 +0000 2017,1.48595E+12, i dont understand how  in 2017  people are getting addicted to heroincrack. like  whos offering these tastes,  heroin,31664984, baabaest, i write  edit  manage social media. my tweets look better than me and that isnt selfdeprecation  thats a testament to my tl.,0,0,437, Toronto: Ontario, None
130,132,8.27E+17, Wed Feb 01 10:54:26 +0000 2017,1.48595E+12, kenya extradites akasha brothers to us on suspicion of heroin smuggling  ,  heroin,18422904, Osunga, cto  managing editor of  and former publisher of proathlete magazine.,0,0,4999, Los Angeles: CA, None
131,134,8.27E+17, Wed Feb 01 11:16:53 +0000 2017,1.48595E+12, hb2217 new standards governing the use and administration of emergency opioid antagonists. ,  opioid,104722941, LegiScanKS, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Kansas: USA, {'type': 'Point': 'coordinates': [39.04807: -95.67808]}
134,137,8.27E+17, Wed Feb 01 12:23:38 +0000 2017,1.48595E+12, iwouldrunif @artiequitter fitness coach did his heroin like he said he would. ifineed2get2stlouis ,  heroin,600477412, GatlinburgBears, i wanna ,0,0,2094, West Lafayette: IN, None
138,142,8.27E+17, Wed Feb 01 12:43:38 +0000 2017,1.48595E+12, the manager of a courtyard inn motel was arrested as part for letting heroin dealers operate out of the hotel. ,  heroin,66179557, BaltimoreCP, breaking news and weather updates from baltimore.,0,0,38, Baltimore: MD, {'type': 'Point': 'coordinates': [39.30190319: -76.6155346]}
139,143,8.27E+17, Wed Feb 01 12:47:21 +0000 2017,1.48595E+12, morningjoe manchin should go home and take care of big pharmas effects on his people pharma friendly opioid deaths the highest in nation.,  opioid,332888709, LindaWildes, baptist democrat.artistselfpublisher  designer coloring book  former med technician  ihatemedicarefraud  a passionate animal activist progressive opinionated,0,0,3341, Melbourne: Florida, None
142,146,8.27E+17, Wed Feb 01 15:32:11 +0000 2017,1.48596E+12, 5monthold babys death ruled a homicide parents died of fentanyl overdoses gtgt ,  fentanyl,74998364, SeattleCP, seattle city and press,0,0,11, Seattle: WA, {'type': 'Point': 'coordinates': [47.6054773: -122.33247834]}
144,148,8.27E+17, Wed Feb 01 15:35:39 +0000 2017,1.48596E+12, not exactly the best way to take care of the suburban opioid epidemic. not breathing is non conducive to life but p ,  opioid,3332073706, kevin_cracknell, father husband  i.c.u. nurse,0,0,2241, Pennsylvania: USA, None
145,149,8.27E+17, Wed Feb 01 15:38:13 +0000 2017,1.48596E+12, bra i need some ibuprofen ,  ibuprofen,2477742741, notoriouskee, none,0,0,922, Hampton: VA, None
146,150,8.27E+17, Wed Feb 01 15:43:10 +0000 2017,1.48596E+12, suspected fentanyl overdoses   ,  fentanyl,2419468878, Barrie411, breaking news   traffic collisions   road closures and weather in real time as it happens for barrie and all of simcoe county   where local news matters,0,0,665, Barrie: Ontario, None
149,153,8.27E+17, Wed Feb 01 16:02:36 +0000 2017,1.48596E+12, @foxnews someone please look into what gov. christie is doing about opioids he is pushing those that cannot get them to heroine,  heroin,4851281445, trblmkr4471, none,0,0,48, Norma: NJ, None
150,154,8.27E+17, Wed Feb 01 16:10:04 +0000 2017,1.48597E+12, its fucking sad when pregnant people take xanax and drugs on snapchat  deleted ,  xanax,4850221373, nlepage15, @jcskate97 111915 ,0,0,318, Swansea: MA, None
151,155,8.27E+17, Wed Feb 01 16:13:20 +0000 2017,1.48597E+12, thank you to all the black heroes and heroines whose history paved the way to my future. blackhistorymonth,  heroin,3199006006, revbillb_, minister of the gospel | acts 64 | revelation 320 | contact mbb20@outlook.com,0,0,406, Columbus: OH, None
152,156,8.27E+17, Wed Feb 01 16:15:04 +0000 2017,1.48597E+12, .@telemundotampa speaking w lt boyd abt heroin epidemic we saw last yr. since our plea for help  weve seen ods go ,  heroin,159259276, sarasotapd, twitter of the city of sarasota police dept | feed not monitored 247 | emergencies 911 | nonemergencies 9413161199 | terms ,0,0,2336, Sarasota: FL, None
153,157,8.27E+17, Wed Feb 01 16:20:03 +0000 2017,1.48597E+12, well  were settled into our second home. fever was 102.9 this morning. he feels ok when tylenol kicks in. cancersucks jasperstrong ,  tylenol,392352266, Jrlmomma, my husband is my rock  my son is my hero. we are jasperstrong dontgiveup wefight,0,0,90, Greenwood: IN, None
155,159,8.27E+17, Wed Feb 01 16:25:18 +0000 2017,1.48597E+12, gadsden mayor says heroin overdose driving force of initiate. mayor urging people to call police or establish neigh ,  heroin,310359036, fox6alancollins, alan collins is a reporter for fox6 wbrctv and  in birmingham  alabama.  married to robin.,0,0,736, Birmingham: Alabama, None
159,163,8.27E+17, Wed Feb 01 16:44:23 +0000 2017,1.48597E+12, is there something about being unemployed that makes you want to try heroin,  heroin,168031733, OGprojectpat, old school hiphop  kittens and naps,0,0,173, Taunton: Ma, None
162,166,8.27E+17, Wed Feb 01 16:45:20 +0000 2017,1.48597E+12, the heroes amp heroines of our movement are all the folks in the @naacp who do the worksome of whom dont bother to ,  heroin,512225400, CornellWBrooks, president  ceo of the @naacp,0,0,781, Baltimore: Maryland, None
163,167,8.27E+17, Wed Feb 01 16:45:43 +0000 2017,1.48597E+12, professional recess has moved from halo lounge to opium located at 960 spring street. myself  ,  opium,249922200, atlmardigras, celebrating the rich  historic tradition of carnival.  saturday feb. 18  2017 at turner field.  tickets on sale now,0,0,311, Atlanta: GA, {'type': 'Point': 'coordinates': [33.7808: -84.38928]}
164,168,8.27E+17, Wed Feb 01 16:49:30 +0000 2017,1.48597E+12, according to arrest report  police found gun and drugs  including weed  pills  heroin and meth  in halls car durin ,  heroin,2180766235, WLKYEmily, @wlky reporter | emaher@hearst.com | @syracuseu alum | former rhode islander | ig @wlkyemily | rts arent endorsements.,0,0,814, Louisville: KY, None
166,170,8.27E+17, Wed Feb 01 16:58:23 +0000 2017,1.48597E+12, @cheetocheet @nmecarlos but nah it might be a little blurry from the 4mg xanax i took..... you dont even know the whole story.....,  xanax,27152756, chrisgar219, you only live once  but the way were living  once is enough. living life with no regrats.  snapchat chgar219,0,0,711, San Antonio: TX, None
167,171,8.27E+17, Wed Feb 01 16:58:58 +0000 2017,1.48597E+12, im the person that has to cut a tylenol in half its so strong but last night i took a whole motrin 500  my body is on fire rn,  tylenol,31181487, JaydesCakeAbs, wake up an optimist and aim for lifes jugular. im a multiplatinum tweeting artist and pottymouthed baker. blm scjaydestamm,0,0,391, Lompoc: CA, None
168,172,8.27E+17, Wed Feb 01 17:04:26 +0000 2017,1.48597E+12, @cheetocheet @nmecarlos mushrooms.....  thinks your memories cloudy from all the xanax you take....,  xanax,27152756, chrisgar219, you only live once  but the way were living  once is enough. living life with no regrats.  snapchat chgar219,0,0,711, San Antonio: TX, None
169,173,8.27E+17, Wed Feb 01 17:06:42 +0000 2017,1.48597E+12, jake tappers face screwed up  he lashed out at war heroine tulsi gabbard obviously the u.s. govt denies providinghelp to terrorist groups,  heroin,539721796, NormanDeArmond, weddingspastoral services  author  commentator   2free novels  usurpious    protophorous ,0,0,8792, Palm Springs: Calif, None
174,178,8.27E+17, Wed Feb 01 17:16:43 +0000 2017,1.48597E+12, police seize heroin at sw ohio home  arrest trafficking suspect 10tv ,  heroin,63964871, ColumbusCP, columbus city and press,0,0,10, Columbus: OH, {'type': 'Point': 'coordinates': [39.96378925: -82.99527267]}
176,180,8.27E+17, Wed Feb 01 17:22:10 +0000 2017,1.48597E+12, @lihelps  im addicted to oxycontin ive been on for more than 15 yrs bedridden since 2001 my dr cant find a painkiller that isnt deadly,  oxycontin,2302581225, Kurtgreezer, old man 56 married 35 yrs four kids 6 grands got a new one,0,0,1951, Pennsylvania: USA, None
179,183,8.27E+17, Wed Feb 01 17:29:16 +0000 2017,1.48597E+12, gov. @larryhogan has announced various leg including on opioids treatment and distribution  sexual predators and drunk drivers.,  opioid,1526578452, JheanelleW, delegate for marylands district 20 | civil and human rights advocate | tweeting my daily musings | friends of jheanelle wilkins treasurer  julio cern,0,0,1475, Silver Spring: MD, None
181,185,8.27E+17, Wed Feb 01 17:36:42 +0000 2017,1.48597E+12, im 18 years old amp i need ibuprofen amp an icy hot patch just to get out of bed.,  ibuprofen,928829274, libskimclean, does things sometimes. brad maille ,0,0,556, Reno: NV, None
184,188,8.27E+17, Wed Feb 01 17:42:05 +0000 2017,1.48597E+12, gov. larry hogan is addressing marylands opioid crisis at the mdsots17. @cbsbaltimore ,  opioid,66179557, BaltimoreCP, breaking news and weather updates from baltimore.,0,0,38, Baltimore: MD, {'type': 'Point': 'coordinates': [39.30190319: -76.6155346]}
187,191,8.27E+17, Wed Feb 01 17:49:07 +0000 2017,1.48597E+12, not enough xanax in the world to save my soul.,  xanax,843105457, toriitipp, the most introverted  extroverted person youll ever meet.,0,0,130, Oregon: USA, None
188,192,8.27E+17, Wed Feb 01 18:03:10 +0000 2017,1.48597E+12, wisconsin renews rebate deal for heroin antidote ,  heroin,70949821, MilwaukeeCP, breaking news and weather updates from milwaukee.,0,0,8, Milwaukee: WI, {'type': 'Point': 'coordinates': [43.04137104: -87.90968018]}
189,193,8.27E+17, Wed Feb 01 18:08:13 +0000 2017,1.48597E+12, @ogamyb whatever gets you there. by cocktail i mean a glass of rum and two xanax. so theres that. ,  xanax,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,864, Portland: TX, None
195,199,8.27E+17, Wed Feb 01 18:26:54 +0000 2017,1.48597E+12, hb1772 new public health and safety adding synthetic opioid to schedule i effective date emergency. ,  opioid,104729708, LegiScanOK, national public service for legislative tracking and data api both free and subscription offerings with advanced monitoring  research  and reporting tools.,0,0,1, Oklahoma: USA, {'type': 'Point': 'coordinates': [35.49232: -97.50334]}
197,201,8.27E+17, Wed Feb 01 18:46:21 +0000 2017,1.48597E+12, ask the city manager is worcester doing enough about opioid epidemic  jointhecoversation ,  opioid,15610400, telegramdotcom, worcester countys leading provider of news and information. if you have breaking news or a tip  call the city desk at 508 7939245,0,0,1216, Worcester: MA, None
199,203,8.27E+17, Wed Feb 01 18:46:55 +0000 2017,1.48597E+12, i tried going without ibuprofen for a day.  tried...,  ibuprofen,2886489893, JaymeHume9, true and loyal. passionate  sympathetic  trusting  supportive. will stick with you through the darkest hour. in other words  jayme a fool  but an honest one,0,0,437, Hershey: PA, None
204,208,8.27E+17, Wed Feb 01 18:51:09 +0000 2017,1.48598E+12, @iran @realdonaldtrump @fbi @abc @nsagov @cia opiates come in from afghanistan to hammond on plane why informants weather brain sat,  opiate,8.09E+17, james1neva, hacked by russia china and korea they wont leave me alone about mind mapping and energy,0,0,110, Astoria: OR, None
206,210,8.27E+17, Wed Feb 01 22:44:52 +0000 2017,1.48599E+12, maybe a xanax or something. before i lose it,  xanax,7.84E+17, nicoletweets13, ,0,0,447, Toledo: OH, None
207,211,8.27E+17, Wed Feb 01 22:45:22 +0000 2017,1.48599E+12, my mom gives me like 20 for lunch everyday sum1 plz take her xanax away,  xanax,3019193203, fortyclip, snapchat  injecting,0,0,215, Chicago: IL, None
208,212,8.27E+17, Wed Feb 01 22:47:13 +0000 2017,1.48599E+12, hello my migraine is now gone. had to take 4 200 mg ibuprofen to get it to go away and then i fell asleep cause they make you drowsy ,  ibuprofen,3312678714, ImClarissaAdele, i am a singer  equestrian  and complete dork. i am a survivor. i battle with cptsd. snapchat clarissaadeleoa ig clarissaadele,0,0,309, Oklahoma: USA, None
209,213,8.27E+17, Wed Feb 01 22:47:13 +0000 2017,1.48599E+12, we have 911 calls from a local gas station. customers reported a mother high on heroin  ready to drive with kids in ,  heroin,2835367306, AngSanchezFox6, general assignment reporter,0,0,283, Milwaukee: WI, None
212,216,8.27E+17, Wed Feb 01 22:53:00 +0000 2017,1.48599E+12, my man @j0shstewart is raising money to make a film about the prescription drug opioid epidemic please donate  ,  opioid,148409027, thedougmichaels, filmmaker  adventurer  photographer  @gopro family member hero5,0,0,10558, Pittsburgh: Pa, None
213,217,8.27E+17, Wed Feb 01 22:56:52 +0000 2017,1.48599E+12, @spagetbambino @vinesnatasha @brittpettibone this is like encouraging someone to do heroin because they wanna be kurt cobain,  heroin,74214410, sevenwithcheese, big red hat cartoon character man,0,0,550, Pittsburgh: PA, None
215,219,8.27E+17, Wed Feb 01 22:59:37 +0000 2017,1.48599E+12, again urging health minister declare opioid crisis a natl emergency. killing so many in eastvan amp across canada. ,  opioid,580114637, JennyKwanBC, proud member of parliament for vancouver east. ndp critic for immigration  refugees and citizenship.,0,0,2405, Vancouver: BC, None
217,222,8.27E+17, Wed Feb 01 23:07:05 +0000 2017,1.48599E+12, @realdonaldtrump please pass medical marijuana in tn. opiatesdangerous. it will benefit many people. save lives ,  opiate,1005265465, BeckaNPaul, none,0,0,223, Tennessee: USA, None
218,223,8.27E+17, Wed Feb 01 23:08:37 +0000 2017,1.48599E+12, theres a nigga somewhere out there thats stuck a xanax bar in his butthole,  xanax,3243791418, smokingdick, only thing i learn from the bible was jesus stay gettin finessed | glo in paradise @dxxmxnxy,0,0,898, Waterloo: Ontario, None
222,228,8.27E+17, Wed Feb 01 23:20:39 +0000 2017,1.48599E+12, we live in the heroin capital of the us but and i dont see people trying to stop that.,  heroin,2240642025, c_ode39, proud to be an american ,0,0,612, Proctorville: OH, None
223,229,8.27E+17, Wed Feb 01 23:22:19 +0000 2017,1.48599E+12, we live in the heroin capital of the us but i dont see anyone trying to stop that.,  heroin,2240642025, c_ode39, proud to be an american ,0,0,612, Proctorville: OH, None
229,235,8.27E+17, Wed Feb 01 23:42:49 +0000 2017,1.48599E+12, if i was the doctor having to treat this  i would have had to pop a couple xanax first. ,  xanax,2601058635, wildskylaw, real people in a law firm helping real people in the community.  personal injury law and consumer bankruptcy.,0,0,2380, Bellevue: WA, None
231,237,8.27E+17, Wed Feb 01 23:53:01 +0000 2017,1.48599E+12, exnfl player derek loville pleads guilty in san diego federal drug case to selling oxycodone and ecstasy. ,  oxycodone,60115647, SanDiegoCP, latest news from san diego. updates are frequent.,0,0,20, San Diego: CA, {'type': 'Point': 'coordinates': [32.7143122: -117.16627197]}
232,238,8.27E+17, Thu Feb 02 00:00:51 +0000 2017,1.48599E+12, justcantsaynoto twitter notifications on my phone. my phone might as well be a pez dispenser loaded with percodan.,  percodan,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,877, Portland: TX, None
235,241,8.27E+17, Thu Feb 02 00:13:17 +0000 2017,1.48599E+12, so @abbemichelle gave me 2 ibuprofen of 500mg for my headache yesterday amp i learned today that youre not suppose to take more than 400mg,  ibuprofen,2406439730, joleenmariie, obsessed with sunsets  my puppy   especially my boyf ,0,0,201, Clarksville: AR, None
236,242,8.27E+17, Thu Feb 02 00:13:57 +0000 2017,1.48599E+12, my professor is teaching while on hydros lol ok,  hydros,176907323, BlairGilfillan, snapblairgilfillan3 instablairgilfillan1,0,0,442, Orlando: FL, None
