1,8.27E+17, Tue Jan 31 22:10:36 +0000 2017,1.49E+12, thefive should post a warning when juan is on so viewers have time you pop a xanax,  xanax,14385689, chasin_dwight, mother  grandmother  love new orleans saints football      lsu tigers.   registered independent,0,0,543, Louisiana: USA, None
109,8.27E+17, Wed Feb 01 07:45:47 +0000 2017,1.49E+12, thats what people always tell me before they realize the lump in their coffee is xanax ,  xanax,256764777, Twatler27, queen t and the crown only fit on me   asu 17  bostonyouremyhome,0,0,448, USA, None
122,8.27E+17, Wed Feb 01 09:44:42 +0000 2017,1.49E+12, google search how do estimate the amount of xanax to knock you out of mania but also allow you to wake up in less than 4 hours,  xanax,15650971, riplindablair, pretending to be popular online,0,0,504, IG: paperliliesbabe, None
124,8.27E+17, Wed Feb 01 09:56:32 +0000 2017,1.49E+12, i want xanax ,  xanax,47695730, zefrron, 20  aquarius ,0,0,347, texas, None
130,8.27E+17, Wed Feb 01 10:42:10 +0000 2017,1.49E+12, just enough green to cool my jets until the xanax kicks in ,  xanax,7.37E+17, mypolystory, 27  polyamory. licensed therapist  lmsw  socialworker  psychology professor  chaturbate camgirl   girlfriendx3 ldr kcco bipolar,0,0,971, Wonderland, None
151,8.27E+17, Wed Feb 01 15:49:14 +0000 2017,1.49E+12, find a girl who take xanax so you can cheat without her remembering anything ,  xanax,162948979, ChuckYoLife, dont come in these dms thinking you gone prosper off tops.. tell me why you here   who tf you are  and your interests...ill read them  see if i wanna respond,0,0,1096, 1%: Tx, None
154,8.27E+17, Wed Feb 01 16:10:04 +0000 2017,1.49E+12, its fucking sad when pregnant people take xanax and drugs on snapchat  deleted ,  xanax,4850221373, nlepage15, @jcskate97 111915 ,0,0,318, Swansea: MA, None
158,8.27E+17, Wed Feb 01 16:23:06 +0000 2017,1.49E+12, its a really good thing ive been eating xanax like a bag of skittles.,  xanax,70039769, Larix_daChemist, alchemist.,0,0,491, None, None
169,8.27E+17, Wed Feb 01 16:54:36 +0000 2017,1.49E+12, when your team leader tells you that youll need red bull and xanax today.....can i just not adult and go home please ,  xanax,39204247, _stephyalexis, | snapchat  instagram  stephyalexis | photographer | blogger |  ,0,0,880, Florida, None
170,8.27E+17, Wed Feb 01 16:58:23 +0000 2017,1.49E+12, @cheetocheet @nmecarlos but nah it might be a little blurry from the 4mg xanax i took..... you dont even know the whole story.....,  xanax,27152756, chrisgar219, you only live once  but the way were living  once is enough. living life with no regrats.  snapchat chgar219,0,0,711, San Antonio: TX, None
172,8.27E+17, Wed Feb 01 17:04:26 +0000 2017,1.49E+12, @cheetocheet @nmecarlos mushrooms.....  thinks your memories cloudy from all the xanax you take....,  xanax,27152756, chrisgar219, you only live once  but the way were living  once is enough. living life with no regrats.  snapchat chgar219,0,0,711, San Antonio: TX, None
176,8.27E+17, Wed Feb 01 17:15:43 +0000 2017,1.49E+12, my mom said my dog needs xanax...,  xanax,355864233, britttys, i want people to think im spicy and fun and dangerous,0,0,326, None, None
187,8.27E+17, Wed Feb 01 17:37:37 +0000 2017,1.49E+12, if you do xanax for fun your a crackhead ,  xanax,271159710, RealAsFuhk, ,0,0,278, Ohio-Texas-Cali-Idaho-Oregon, None
191,8.27E+17, Wed Feb 01 17:49:07 +0000 2017,1.49E+12, not enough xanax in the world to save my soul.,  xanax,843105457, toriitipp, the most introverted  extroverted person youll ever meet.,0,0,130, Oregon: USA, None
193,8.27E+17, Wed Feb 01 18:08:13 +0000 2017,1.49E+12, @ogamyb whatever gets you there. by cocktail i mean a glass of rum and two xanax. so theres that. ,  xanax,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,864, Portland: TX, None
195,8.27E+17, Wed Feb 01 18:11:34 +0000 2017,1.49E+12, if they call amphetamine speed they should call xanax slow or not speed,  xanax,372099951, BIGxGx, djproducer | ceofounder of @litapparel | snapchat bigxgx123,0,0,151, Los Xangeles , None
204,8.27E+17, Wed Feb 01 18:47:21 +0000 2017,1.49E+12, jesus christ hommie are you really popping xanax with a sip of red bull krazy ass vato,  xanax,7.47E+17, RudolfBaghdasa1, souls in the furnace,0,0,53, None, None
209,8.27E+17, Wed Feb 01 21:50:45 +0000 2017,1.49E+12, @jaketapper did you ask about skype sorry i had to take a xanax after watching. did you know 1 of the tribes called for help.,  xanax,2881785430, celestepewter, you may mourn many things  alec  the kochs are not for mourning. know if you work for one. nodapl gunsense flint resist resistance happy ,0,0,3092, The Other NY, None
210,8.27E+17, Wed Feb 01 22:44:52 +0000 2017,1.49E+12, maybe a xanax or something. before i lose it,  xanax,7.84E+17, nicoletweets13, ,0,0,447, Toledo: OH, None
211,8.27E+17, Wed Feb 01 22:45:22 +0000 2017,1.49E+12, my mom gives me like 20 for lunch everyday sum1 plz take her xanax away,  xanax,3019193203, fortyclip, snapchat  injecting,0,0,215, Chicago: IL, None
220,8.27E+17, Wed Feb 01 23:02:21 +0000 2017,1.49E+12, tried writing about paterson but it was hokey so heres this its amazing and was exactly what i needed  like a nice dose of xanax via film,  xanax,17389746, shanekealoha, millennial costanza | writer at places  poems,0,0,975, NYC, None
223,8.27E+17, Wed Feb 01 23:08:37 +0000 2017,1.49E+12, theres a nigga somewhere out there thats stuck a xanax bar in his butthole,  xanax,3243791418, smokingdick, only thing i learn from the bible was jesus stay gettin finessed | glo in paradise @dxxmxnxy,0,0,898, Waterloo: Ontario, None
225,8.27E+17, Wed Feb 01 23:13:42 +0000 2017,1.49E+12, @brandiglanville @brandiglanville lol  join the rest of the country. they dont make enough xanax to deal with this administration.,  xanax,44466445, TorySnyc, scientist  city girl  runner  eater  mathlete  casual tweeter.,0,0,722, New York: NY/New Orleans: LA, None
233,8.27E+17, Wed Feb 01 23:32:23 +0000 2017,1.49E+12, percocet molly xanax i feel like i landed ona planet,  xanax,275187857, ImTireddddddd, humbled,0,0,658, None, None
235,8.27E+17, Wed Feb 01 23:42:49 +0000 2017,1.49E+12, if i was the doctor having to treat this  i would have had to pop a couple xanax first. ,  xanax,2601058635, wildskylaw, real people in a law firm helping real people in the community.  personal injury law and consumer bankruptcy.,0,0,2380, Bellevue: WA, None
258,8.27E+17, Thu Feb 02 01:06:06 +0000 2017,1.49E+12, oreillyfactor bill please post a warning before you have geraldo on so i can take a xanax,  xanax,14385689, chasin_dwight, mother  grandmother  love new orleans saints football      lsu tigers.   registered independent,0,0,545, Louisiana: USA, None
260,8.27E+17, Thu Feb 02 01:10:25 +0000 2017,1.49E+12, @loriannhartmann @lisarinna dont forget the xanax smoothies ,  xanax,83752357, dpearl14, none,0,0,59, None, None
261,8.27E+17, Thu Feb 02 01:12:24 +0000 2017,1.49E+12, @houkm34 i might need an 18 wheeler of xanax when that day visits me.,  xanax,86646950, willmoriarty86, the black sheep of astros twitter. nutjob  according to @kenchronicle.,0,0,509, Houston: TX, None
265,8.27E+17, Thu Feb 02 01:29:25 +0000 2017,1.49E+12, friends is like an natural xanax. instantly calms me down. i often have it on the background at work  watch before bed  amp when im anxious.,  xanax,32532211, PopCulturePaige, entertainment writer @hollywoodlife. blogger. popculture enthusiast. nap lover. blonde  boujee.,0,0,1943, Los Angeles , None
266,8.27E+17, Thu Feb 02 01:31:58 +0000 2017,1.49E+12, literally fuck all drugs except weed. fuck your coke  fuck ur xanax  fuck it all.,  xanax,243943624, frootluv, none,0,0,107, Santa Rosa: CA, None
275,8.27E+17, Thu Feb 02 01:50:51 +0000 2017,1.49E+12, @billratchet fedruary. now you have to become a federal agent and bust xanax rings,  xanax,2363136746, Sad_Boot, lots of love and hope,0,0,145, This moment , None
293,8.27E+17, Thu Feb 02 02:55:59 +0000 2017,1.49E+12, need to take xanax to do my hw but will pass out if i pop a xan ,  xanax,361299727, chemistbabygurl, yung  we outta skool but we got chemistry,0,0,276, NY, None
295,8.27E+17, Thu Feb 02 02:57:47 +0000 2017,1.49E+12, taking topical requests for poorly executed xanax poetry.,  xanax,20485076, motormouthmedia, cat lady who runs a pr co. for music  festivals  events  brands. human who despises trump. prob arrested in 17 for civil disobedience. also  girl power,0,0,863, * Los Angeles * Brooklyn * , None
296,8.27E+17, Thu Feb 02 02:58:15 +0000 2017,1.49E+12, @corapunzel4  xanax makes a terrible ice cream topping anyway,  xanax,786569252, liberal_parnell, human  female  atheist artist. proreality  choice  fact  freedom  literacy  kindness  against  fallacy  ignorance  bigotry.  blasphemer extraordinaire,0,0,1575, Montana: US , None
303,8.27E+17, Thu Feb 02 03:13:36 +0000 2017,1.49E+12, lol this girl think she finna sell me 70 xanax im finna snatch them shits out her hand ,  xanax,58254445, GabeTheBasedGod, you know how im rockin like cut off stockings keep kush in my pocket all designer get ya grind up,0,0,248, Charlotte: NC, None
304,8.27E+17, Thu Feb 02 03:18:13 +0000 2017,1.49E+12, last cpl days in my home b4 its repod. im not a partier  but feelin the urge. a lil drink  thrash amp a xanax nerves not high. g2g.,  xanax,7.40E+17, KCrowe1965, love the walking dead  supernatural  impractical jokers  chiefs football. live in the kansas boonies with 13 cats  a dog  lots of wildlife.,0,0,87, Pittsburg: KS, None
313,8.27E+17, Thu Feb 02 03:42:28 +0000 2017,1.49E+12, @rhys604 gotcha there  i deal with mental illness 247   lol. thank god for xanax   lol ,  xanax,3219761382, frosty8556, native of nashville  tn. hate the name trump  big fan of stephen king  pittsburgh steelers   john grisham. like dogs. changing tn. politics  voters up ,0,0,3989, Nashville: TN, None
316,8.27E+17, Thu Feb 02 03:45:17 +0000 2017,1.49E+12, if you whole thing is blanks are the real blanks maybe like take a xanax and  think about how that sounds like im rubber and ur glue,  xanax,226818372, mitchysuch, mostly satire  mostly legible,0,0,2170, lansing Mi, None
318,8.27E+17, Thu Feb 02 04:08:31 +0000 2017,1.49E+12, i need xanax sos,  xanax,1509404388, MelissaaaOchs, none,0,0,361, California: USA, None
319,8.27E+17, Thu Feb 02 04:09:38 +0000 2017,1.49E+12, who has a xanax im about to break my fucking phone,  xanax,231703014, spagheteen666, heart turned cold like sasuke ftp rare golf punk,0,0,1276, 2000 whatever, None
321,8.27E+17, Thu Feb 02 04:14:54 +0000 2017,1.49E+12, i  i cant do this anymore. if he continues this bs  the whole country should get free xanax. its been less than 2 ,  xanax,336028739, StephAutryAU, nc wife and mom who loves auburn sports  carolina panthers  tons of tv  broadway  and equality for all. wearenotthis,0,0,292, Raleigh: North Carolina, None
322,8.27E+17, Thu Feb 02 04:16:20 +0000 2017,1.49E+12, i need a xanax ,  xanax,569415852, samkiaunis, none,0,0,368, None, None
326,8.27E+17, Thu Feb 02 04:29:12 +0000 2017,1.49E+12, i hope sean spicer takes a xanax before tomorrows briefing,  xanax,12612432, jpodhoretz, editor of commentary. columnist  new york post. contributing editor of the weekly standard. lately ive taken to cursing quite a bit here. life is short.,0,0,1140, None, None
328,8.27E+17, Thu Feb 02 04:40:10 +0000 2017,1.49E+12, its week 3 and im already having a mental breakdown and like i cant tell if i need a glass of wine or a xanax send help,  xanax,373177379, Codiodi, i write things  feminist af,0,0,208, None, None
337,8.27E+17, Thu Feb 02 05:31:25 +0000 2017,1.49E+12, i need a xanax,  xanax,2540210264, kayley_eidson, find me at most @nothingmorerock  @redsunrising shows. vet tech . queen of dad rock  heavy metal. angry liberal feminist ,0,0,465, hell, None
342,8.27E+17, Thu Feb 02 05:38:55 +0000 2017,1.49E+12, i got bars for sale baby and i aint talking xanax,  xanax,8.26E+17, SmokieDaBandit1, familyfirst getthemoneycamp hiphoprap only god is the best painkiller,0,0,299, Pomona: CA, None
344,8.27E+17, Thu Feb 02 05:44:23 +0000 2017,1.49E+12, me oh my hell you need this shianne is it a freaking xanax me actually... its a bed heater... @shiannewillis,  xanax,2719367381, JennaNoffsinger, none,0,0,151, Richfield: UT, None
345,8.27E+17, Thu Feb 02 05:50:29 +0000 2017,1.49E+12, has anyone tried to give trump a xanax maybe hed calm down,  xanax,39909568, RachelLeishman, i like a lot of hot dudes.   writer for @culturessfs  @wizardswhatnot  @fangirlishness   @popwrapped.  podcasts @hardbodiespc  @thefordcastpc   @telemazing.,0,0,715, brooklyn: ny, None
347,8.27E+17, Thu Feb 02 05:53:29 +0000 2017,1.49E+12, @feistybunnygirl @vicentefoxque i would kill 4 a xanax right now. my anxiety has really hit its stride the past 12 days,  xanax,3906341714, kjonessd, battle born. employment law attorney who is more interesting than her profession would imply,0,0,1046, Las Vegas: NV, None
348,8.27E+17, Thu Feb 02 05:53:41 +0000 2017,1.49E+12, in need of a freaking xanax ,  xanax,3242420914, morganjones21_, snapchat mj2,0,0,838, tylertown: ms, None
350,8.27E+17, Thu Feb 02 06:06:13 +0000 2017,1.49E+12, this xanax  and ambien cocktail is my jam    1 snooze cruise coming right                                       ,  xanax,1861267926, Les_Bourbon,    nbk,0,0,722, 8¥Ÿä€£1¥Ÿä€£6¥Ÿä€£, None
352,8.27E+17, Thu Feb 02 06:10:08 +0000 2017,1.49E+12, shut up bitch u pop xanax 2s ,  xanax,615692271, Shredderedgar, all black ying yang,0,0,223, jasmine, None
357,8.27E+17, Thu Feb 02 06:46:40 +0000 2017,1.49E+12, i really need to try amp take my xanax  but im just afraid of taking medications  i know itll help so much though ,  xanax,477984738, PeepThisGame, most hated   slayin shit   grindin ,0,0,373, None, None
359,8.27E+17, Thu Feb 02 07:02:50 +0000 2017,1.49E+12, @streetbleach xanax is the devil,  xanax,456112251, dickbuttforever, making art we believe stands a chance,0,0,392, None, None
362,8.27E+17, Thu Feb 02 07:16:36 +0000 2017,1.49E+12, realizes im a 5th wheel in my own house   wheres my xanax,  xanax,893770566, samlrichardson, simultaneously overrated  cute af,0,0,182, None, None
365,8.27E+17, Thu Feb 02 07:31:07 +0000 2017,1.49E+12, wish i either had xanax or someone to knock me unconscious  both seem like equally comparable options,  xanax,7.64E+17, dykedaze, ugly but in a hot way,0,0,71, None, None
368,8.27E+17, Thu Feb 02 07:34:45 +0000 2017,1.49E+12, mom just asked me about my cocaine  xanax   and marijuana use. weve reached new levels of fucked,  xanax,1012614296, ibby_perez, ignorance is love and i need that shit,0,0,491, None, None
369,8.27E+17, Thu Feb 02 07:38:05 +0000 2017,1.49E+12, @freewodee im off 7 xanax rn waddup match,  xanax,357537034, FreeGMadi, the players club | howard university,0,0,783, Chicago, None
372,8.27E+17, Thu Feb 02 08:04:51 +0000 2017,1.49E+12, yall do realize tho that xanax and crack have totally different effects so this doesnt make sense ,  xanax,2672592780, emmaasawyer, all i wanted was a pepsi,0,0,313, orange county, None
377,8.27E+17, Thu Feb 02 08:54:57 +0000 2017,1.49E+12, lowkey wanna drown in xanax just so i could fucken sleep nice for once.,  xanax,1027803020, Jonny2Blunted, @giannahluna ,0,0,656, None, None
378,8.27E+17, Thu Feb 02 08:57:11 +0000 2017,1.49E+12, @jonny2blunted and when i say drown in xanax   this what i mean ,  xanax,1027803020, Jonny2Blunted, @giannahluna ,0,0,656, None, None
397,8.27E+17, Thu Feb 02 12:29:21 +0000 2017,1.49E+12, lol get u girl who doesnt do xanax  and has her own car.,  xanax,3171475308, cocobianaa, snapchatsagourneyjenn21,0,0,1031, denver: co, None
400,8.27E+17, Thu Feb 02 12:55:43 +0000 2017,1.49E+12, i need my bf and a xanax,  xanax,2559057852, jones_morgannn, none,0,0,451, Longview: TX, None
403,8.27E+17, Thu Feb 02 13:12:40 +0000 2017,1.49E+12, pussy like xanax cus it make me fall asleep.,  xanax,96866075, Chuck___Taylor, staying 10 toes down ,0,0,7716, None, None
407,8.27E+17, Thu Feb 02 13:23:44 +0000 2017,1.49E+12, my cat is on xanax. just in case you guys were wondering.  ...why im on it,  xanax,4445522294, Mattikaze, mostly just observations.                                 xbox live mattikaze                                   currently playing infinite warfare  re7,0,0,292, Memphis: TN, None
416,8.27E+17, Thu Feb 02 14:13:21 +0000 2017,1.49E+12, need a xanax to get thru this day,  xanax,746467201, marjraguso, im so italian it hurts. white sox and blackhawks. bernie 4ever.   jose.,0,0,138, Illinois: USA, None
422,8.27E+17, Thu Feb 02 14:31:55 +0000 2017,1.49E+12, @lyssmariec i do know because ive done xanax with all of yall.... i am so dead.,  xanax,2866379529, ayemigacz420, who am i im that bitch. charlotte nc. dennis ,0,0,628, in the cut rollin doobies up, None
423,8.27E+17, Thu Feb 02 14:35:15 +0000 2017,1.49E+12, @kdizz ill just pop a ton of xanax lol kidding,  xanax,46010392, kayleigh_anneee, none,0,0,1384, Lynn: MA, None
430,8.27E+17, Thu Feb 02 15:00:55 +0000 2017,1.49E+12, @rileyjyates lets take some xanax and go to smokin bones,  xanax,170097594, WillSmithKFAN, flyer than most. hdt. assistant pd  executive producer for 1320 kfan. proud eagle scout. 610 am mf,0,0,646, Salt Lake City: Utah, None
460,8.27E+17, Thu Feb 02 15:56:43 +0000 2017,1.49E+12, wake up  u want a xanax,  xanax,229560078, _MADLIV_, aspiring downtown bad boy,0,0,306, None, None
461,8.27E+17, Thu Feb 02 15:58:26 +0000 2017,1.49E+12, need a fucking xanax,  xanax,1959852726, jillpezzolaaa, a box of rain will ease the pain and love will see you through,0,0,593, Bay Area, None
472,8.27E+17, Thu Feb 02 16:26:13 +0000 2017,1.49E+12, i wish i liked xanax more. it makes me feel weird afff,  xanax,2948430036, ashiizle, none,0,0,186, Where you aren't, None
476,8.27E+17, Thu Feb 02 16:37:38 +0000 2017,1.49E+12, is it bad to mix oxy with xanax,  xanax,131632186, HighKeyKyle, 99 til infinity,0,0,393, nor cal, None
4,8.40E+17, Fri Mar 10 01:17:39 +0000 2017,1.49E+12, mother nature can you please take a xanax and chill no need for all that  ,  xanax,8.09E+17, misty_orton4, i am randy ortons 1 fan he is my idol i would love to meet him one day i love him so much hes the best ever he inspires me everyday i love my viper,0,0,373, Winston-Salem: NC, None
10,8.40E+17, Fri Mar 10 01:35:37 +0000 2017,1.49E+12, hopping a red eye xanaxless... favorite substance to knock you out cold for about 6 hours... go ,  xanax,535057248, taylor_shortall, doin things  mainly for @psyop. instagram taylorshortall. snap tayshort.,0,0,2690, Los Angeles: CA, None
19,8.40E+17, Fri Mar 10 01:46:46 +0000 2017,1.49E+12, i love xanax. with being diagnosed with post concussive syndrome a few years back when i was rockin at fsu stilll. @xanaxlord u goin good,  xanax,365841054, REIGN813, want success as bad as you want to breathe. is short  death is long. entrepreneur musical engineerartistathletic trainer @reign813sc freenoel,0,0,948, Orange County LA area, None
28,8.40E+17, Fri Mar 10 02:10:41 +0000 2017,1.49E+12, whats a xanax gonna do  other than put you to sleep  ,  xanax,2289055720, kenny_ipina202, none,0,0,205, Franklin: TN, None
29,8.40E+17, Fri Mar 10 02:12:44 +0000 2017,1.49E+12, @rjochoa my diet 2day reeses pb eggs amp xanax need 2 get off this romocoaster that were all trapped on wth is happening its ok breathe,  xanax,2501606012, jolzt68, cowboysnation  you reached for the secret too soon  you cried for the  shine on you crazy ,0,0,19, None, None
32,8.40E+17, Fri Mar 10 02:18:47 +0000 2017,1.49E+12, my dad just pronounced xanax as jack snacks,  xanax,1611645589, tiaramm07, you are much to bright to be forgotten jcg,0,0,486, None, None
42,8.40E+17, Fri Mar 10 02:45:51 +0000 2017,1.49E+12, sorry  i thought that xanax in the bottle in your purse was for everybody.,  xanax,24138696, SethArrons, opinions i got em. you definitely wont like them. sit the fuck down.,0,0,156, Reno: NV, None
56,8.40E+17, Fri Mar 10 02:50:20 +0000 2017,1.49E+12, ask devon maddox  her xanax dealer that she fucked the night before she flew to cali..............,  xanax,224934817, mikejones42o, none,0,0,1857, Denver: CO, None
60,8.40E+17, Fri Mar 10 02:52:25 +0000 2017,1.49E+12, i need a xanax  riverdale,  xanax,123054668, DarthVonOhlen, brand manager  entertainment star wars  doctor who  wwe  gpk  mars attacks  walking dead  preacher  wacky at topps. views are my own. follow @topps,0,0,2293, NYC, None
64,8.40E+17, Fri Mar 10 02:54:23 +0000 2017,1.49E+12, high key want try xanax,  xanax,932623291, brownboy3011, none,0,0,529, Los Angeles: CA, None
95,8.40E+17, Fri Mar 10 03:38:54 +0000 2017,1.49E+12, whos got xanax for my come down,  xanax,100184928, doritosnkilos69, jkclothing    @jamnationlv merch   west highland terrier lover,0,0,542, cid city, None
96,8.40E+17, Fri Mar 10 03:41:34 +0000 2017,1.49E+12, this is weird to me  says me  person with dog on prozac and sometimes xanax and another on prilosec ,  xanax,16520741, the_tom_burns, there can be only one.,0,0,249, Columbus: OH, None
101,8.40E+17, Fri Mar 10 03:57:56 +0000 2017,1.49E+12, when most people talk to me it makes me grateful that i have xanax,  xanax,2880233264, connormicbreaux, none,0,0,327, Lafayette LA, None
113,8.40E+17, Fri Mar 10 04:21:51 +0000 2017,1.49E+12, college is full of a bunch of little junkies snorting xanax and shit what the fuck,  xanax,380597484, ksantor0, come in with the k like they lackin potassium salisbury 20,0,0,986, None, None
115,8.40E+17, Fri Mar 10 04:23:58 +0000 2017,1.49E+12, @bondjane007 @nursemaryjink   whoa thats buffet of stuff  go for a xanax or a doobie  one and done.,  xanax,198260935, _AndyD, wheres waldo music action sports  cooking fitness  cycling. | marketing @ killertracks  | the usual good stuff some kid from michigan.,0,0,2021, West Los Angeles:CA, None
129,8.40E+17, Fri Mar 10 04:57:17 +0000 2017,1.49E+12, @andyd @nursemaryjink xanax doesnt work for me. cant smoke due to copd need sleep however. yikes..days without sleep is making me ill.,  xanax,42004367, bondjane007, everything in the arts even the bad art.i learn from it. im a spunky ed double fire sign into anything off beat. check me out on fb janebond007,0,0,39, SANTA MONICA, None
133,8.40E+17, Fri Mar 10 05:09:03 +0000 2017,1.49E+12, wife introduced me to xanax couldnt find my pajamas i was wearing.,  xanax,20647092, DasGentleman, content may be vulgar as for they just tweets.,0,0,554, Kansas City: MO, None
141,8.40E+17, Fri Mar 10 05:33:25 +0000 2017,1.49E+12, does anybody have a xanax ,  xanax,2705423803, kelseyyleonard, actor  brand ambassador  adventurer with a taste for health  home decor  beauty  positive living.,0,0,206, Los Angeles äÊæ Nashville, None
143,8.40E+17, Fri Mar 10 05:40:58 +0000 2017,1.49E+12, he just on the wrong drugs. he went from weed and lean to xanax and bleach ,  xanax,1677187734, TeaHotPocket_, i just wanna buy my moms a home put my niggas on and be still rich. zilla freetj,0,0,537, Frank Blokk, None
