6,8.27E+17, Tue Jan 31 22:24:07 +0000 2017,1.49E+12, tonight stephen quinn hosts the fentanyl fix forum live on @cbcradio730pm  900pm ,  fentanyl,67898674, Vancouver_CP, latest news from vancouver. updates are frequent.,0,0,13, Vancouver: BC, {'type': 'Point': 'coordinates': [49.2814375: -123.12109067]}
1091,8.43E+17, Sat Mar 18 01:34:24 +0000 2017,1.49E+12, columbus  ohio has one fatal fentanyl overdose per day ,  fentanyl,8.10E+17, GailRNJD, wife  mother  rn jd progressivedemocrat  imwithher notmypresident neverforgetresistance,0,0,1798, SF Bay Area, None
1094,8.43E+17, Sat Mar 18 01:42:11 +0000 2017,1.49E+12, @lahem game on  fentanyl,  fentanyl,19810384, MrSeanOC, hes 64  has black hair  blue eyes  doesnt drink  doesnt smoke  and tells the truth,0,0,1458, Polish Triangle: Boston, None
1194,8.43E+17, Sat Mar 18 12:30:46 +0000 2017,1.49E+12, slovisnew in resuscitation morphine vs fentanyl in chest pain weve switched to fentanyl aaem17 ,  fentanyl,308775675, umanamd, em physicianemergencilogoem residency program directoracepaaemifem intl. memberenglishtweetsen espaol meded globalsgem pocus foamed pura vida,0,0,1593, San Jose: Costa Rica, {'coordinates': [28.42643165: -81.46681968]: 'type': 'Point'}
1215,8.43E+17, Sat Mar 18 15:09:06 +0000 2017,1.49E+12, pilot  wife die of apparent fentanyl overdose children find bodies ,  fentanyl,65806174, MemphisCP, breaking news and weather updates from memphis.,0,0,11, Memphis: TN, {'coordinates': [35.14414333: -90.04617767]: 'type': 'Point'}
1234,8.43E+17, Sat Mar 18 16:33:18 +0000 2017,1.49E+12, @akilhashim yes the drs hooked them on oxy amp now dealers are infusing fentanyl to stretch the shit i read vt mixing dirt in,  fentanyl,1496530303, Tuniekc, mom  unslaveable stopkillingeachother  10k fearless assatashakur tupac prince mj theywereherebeforecolumbus blacklivesmatterblackpower,0,0,1973, Freedomville, None
1245,8.43E+17, Sat Mar 18 17:03:06 +0000 2017,1.49E+12, do you agree fentanyl dealers should face tougher penalties than other dealers ,  fentanyl,67898674, Vancouver_CP, breaking news and weather updates from vancouver.,0,0,13, Vancouver: BC, {'coordinates': [49.2814375: -123.12109067]: 'type': 'Point'}
1298,8.43E+17, Sat Mar 18 20:34:26 +0000 2017,1.49E+12, counterfeit pill boom fuels fentanyl crisis @cnn ,  fentanyl,119795333, afumar, ethiopian by birth. american  by choice. followingrts  endorsements some tweets in the pages do not represent my view,0,0,970, Hawaii: USA, None
1388,8.43E+17, Sun Mar 19 01:57:52 +0000 2017,1.49E+12, i am on the road to fight against  heroin use as well fentanyl justlisten @actionaddiction @kenosha drugfree ,  fentanyl,3956162843, SalazarNBC4U, actor  producer  journalist   chicago med  chicago fire  chicago justice  gotham  tmz appearances  youtube vlogger ,0,0,4995, Chicago: IL, None
1476,8.43E+17, Sun Mar 19 12:02:42 +0000 2017,1.49E+12, awful amp so sad.  rt @theeconomist america is losing the battle against heroin and fentanyl ,  fentanyl,34669842, mam24rice, ohio guy living in maryland. die hard sunderland  hoosiers  reds  red wings  clippers  bengals and pearl jam fan....in no particular order. sports consume me.,0,0,2086, Baltimore: Maryland , None
1628,8.44E+17, Sun Mar 19 23:29:41 +0000 2017,1.49E+12,  airline pilot  wife died from apparent fentanyl ods in ohio,  fentanyl,2923448712, patdempsey58, live everyday as it was  your last,0,0,3947, dallas tx, None
1641,8.44E+17, Sun Mar 19 23:59:21 +0000 2017,1.49E+12, @speakerryan @repkevinbrady i hope you die of a fentanyl overdose you fucking jackass,  fentanyl,102611957, mycoolaugustine, not the priest or the guy who got arrested for jerking off in a target parking lot,0,0,577, seattle, None
1770,8.44E+17, Mon Mar 20 13:53:19 +0000 2017,1.49E+12, @gop turning to the streets of depressed coal country to heroin  for dilaudid  for fentanyl. and you say  nope  forget these people our...,  fentanyl,40486949, UHElle, liberal. antitheist. fiance @kristheatheist. mbmbam. texan. cougar makeup. foodie kinda cripply. lotta creepy. yall motherfuckers need science.,0,0,570, Houston: TX, None
1826,8.44E+17, Mon Mar 20 17:13:56 +0000 2017,1.49E+12, new fixing fentanyl means treating trauma that creates addicts  excellent article  addiction,  fentanyl,2427602910, KilobyCenter, the kiloby center for recovery  inc. is the first treatment center in the u.s. to focus primarily on mindfulness. 866kiloby5 addiction anxiety depression,0,0,1565, Rancho Mirage: California, None
1836,8.44E+17, Mon Mar 20 17:43:21 +0000 2017,1.49E+12, overcrowding. gangs. fentanyl. assaults on officers.  bcs prisons are out of control. have you signed the petition ,  fentanyl,18716265, bcgeu, bc government and service employees union bcgeu  over 72 000 members strong  ,0,0,1387, British Columbia: Canada, None
1906,8.44E+17, Mon Mar 20 22:06:55 +0000 2017,1.49E+12, local crime stoppers offers reward for arrest of people selling fentanyl ,  fentanyl,223961902, WinStarWilhelm, journalist at the windsor star,0,0,377, None, None
1978,8.44E+17, Tue Mar 21 01:54:18 +0000 2017,1.49E+12, rodrigus pearson pleaded guilty today in federal court to distributing fentanyl  resulting in baileys death.   ,  fentanyl,237399973, LaurenWalshTV, journalist at @abc3340,0,0,995, Birmingham: AL, None
2021,8.44E+17, Tue Mar 21 03:19:00 +0000 2017,1.49E+12, an all too common story  meet frank  the 59yearold fentanyl dealer  overdose vancouver dtes,  fentanyl,17881831, jjbreakspear, ed of @phscss  former ed of @optbc  wife  auntie  activist  paddler  cyclist. originally from ottawa  now happily ensconced on west coast,0,0,968, Vancouver BC Canada, None
2075,8.44E+17, Tue Mar 21 06:40:06 +0000 2017,1.49E+12, orlando man pleads guilty to selling heroin mixed with fentanyl  ,  fentanyl,62050708, JacksonvilleCP, breaking news and weather updates from jacksonville.,0,0,10, Jacksonville: FL, {'coordinates': [30.32633066: -81.65339546]: 'type': 'Point'}
2080,8.44E+17, Tue Mar 21 07:14:36 +0000 2017,1.49E+12, @syskpodcast regarding the fentanyl od deaths ,  fentanyl,21369762, kbVancouver80, none,0,0,1680, None, None
2106,8.44E+17, Tue Mar 21 13:23:34 +0000 2017,1.49E+12, .@cstoppers of windsor and essex want to give you 1k to stop fentanyl trafficking @ctvwindsor ,  fentanyl,16244964, RichGartonCTV, tv reporter  journalism coach @st. clair college  uwindsor  husband  father  toronto sports homer  gentleman  a scholar | tweets mine rich.garton@bellmedia.ca,0,0,727, Windsor: Ont., None
2118,8.44E+17, Tue Mar 21 13:56:00 +0000 2017,1.49E+12, i totally understand why so many people are addicted to fentanyl,  fentanyl,499803885, MeteElizabeth, i love to sleep late party hard  cut corners and create chaos,0,0,135, North Bay: Ontario, None
